# See http://www-01.sil.org/iso639-3/
cak,Kaqchikel
cal,Carolinian
cam,Cemuhî
can,Chambri
cao,Chácobo
cap,Chipaya
caq,Car Nicobarese
car,Galibi Carib
cas,Tsimané
cat,Catalan
cat,Valencian
cav,Cavineña
caw,Callawalla
cax,Chiquitano
cay,Cayuga
caz,Canichana
cbb,Cabiyarí
cbc,Carapana
cbd,Carijona
cbg,Chimila
cbi,Chachi
cbj,Ede Cabe
cbk,Chavacano
cbl,Bualkhaw Chin
cbn,Nyahkur
cbo,Izora
cbq,Cuba
cbq,Tsucuba
cbr,Cashibo-Cacataibo
cbs,Cashinahua
cbt,Chayahuita
cbu,Candoshi-Shapra
cbv,Cacua
cbw,Kinabalian
cby,Carabayo
cca,Cauca
ccc,Chamicuro
ccd,Cafundo Creole
cce,Chopi
ccg,Samba Daka
cch,Atsam
ccj,Kasanga
ccl,Cutchi-Swahili
ccm,Malaccan Creole Malay
cco,Comaltepec Chinantec
ccp,Chakma
ccr,Cacaopera
cda,Choni
cde,Chenchu
cdf,Chiru
cdg,Chamari
cdh,Chambeali
cdi,Chodri
cdj,Churahi
cdm,Chepang
cdn,Chaudangsi
cdo,Min Dong Chinese
cdr,Cinda-Regi-Tiyal
cds,Chadian Sign Language
cdy,Chadong
cdz,Koda
cea,Lower Chehalis
ceb,Cebuano
ceg,Chamacoco
cek,Eastern Khumi Chin
cen,Cen
ces,Czech
cet,Centúúm
cfa,Dijim-Bwilim
cfd,Cara
cfg,Como Karim
cfm,Falam Chin
cga,Changriwa
cgc,Kagayanen
cgg,Chiga
cgk,Chocangacakha
cha,Chamorro
chb,Chibcha
chc,Catawba
chd,Highland Oaxaca Chontal
che,Chechen
chf,Tabasco Chontal
chg,Chagatai
chh,Chinook
chj,Ojitlán Chinantec
chk,Chuukese
chl,Cahuilla
chm,Mari (Russia)
chn,Chinook jargon
cho,Choctaw
chp,Chipewyan
chp,Dene Suline
chq,Quiotepec Chinantec
chr,Cherokee
cht,Cholón
chu,Church Slavic
chu,Church Slavonic
chu,Old Bulgarian
chu,Old Church Slavonic
chu,Old Slavonic
chv,Chuvash
chw,Chuwabu
chx,Chantyal
chy,Cheyenne
chz,Ozumacín Chinantec
cia,Cia-Cia
cib,Ci Gbe
cic,Chickasaw
cid,Chimariko
cie,Cineni
cih,Chinali
cik,Chitkuli Kinnauri
cim,Cimbrian
cin,Cinta Larga
cip,Chiapanec
cir,Haméa
cir,Méa
cir,Tiri
ciw,Chippewa
ciy,Chaima
cja,Western Cham
cje,Chru
cjh,Upper Chehalis
cji,Chamalal
cjk,Chokwe
cjm,Eastern Cham
cjn,Chenapian
cjo,Ashéninka Pajonal
cjp,Cabécar
cjs,Shor
cjv,Chuave
cjy,Jinyu Chinese
ckb,Central Kurdish
ckh,Chak
ckl,Cibak
ckn,Kaang Chin
cko,Anufo
ckq,Kajakse
ckr,Kairak
cks,Tayo
ckt,Chukot
cku,Koasati
ckv,Kavalan
ckx,Caka
cky,Cakfem-Mushere
ckz,Cakchiquel-Quiché Mixed Language
cla,Ron
clc,Chilcotin
cld,Chaldean Neo-Aramaic
cle,Lealao Chinantec
clh,Chilisso
cli,Chakali
clj,Laitu Chin
clk,Idu-Mishmi
cll,Chala
clm,Clallam
clo,Lowland Oaxaca Chontal
clt,Lautu Chin
clu,Caluyanun
clw,Chulym
cly,Eastern Highland Chatino
cma,Maa
cme,Cerma
cmg,Classical Mongolian
cmi,Emberá-Chamí
cml,Campalagian
cmm,Michigamea
cmn,Mandarin Chinese
cmo,Central Mnong
cmr,Mro-Khimi Chin
cms,Messapic
cmt,Camtho
cna,Changthang
cnb,Chinbon Chin
cnc,Côông
cng,Northern Qiang
cnh,Haka Chin
cnh,Hakha Chin
cni,Asháninka
cnk,Khumi Chin
cnl,Lalana Chinantec
cno,Con
cns,Central Asmat
cnt,Tepetotutla Chinantec
cnu,Chenoua
cnw,Ngawn Chin
cnx,Middle Cornish
coa,Cocos Islands Malay
cob,Chicomuceltec
coc,Cocopa
cod,Cocama-Cocamilla
coe,Koreguaje
cof,Colorado
cog,Chong
coh,Chichonyi-Chidzihana-Chikauma
coh,Chonyi-Dzihana-Kauma
coj,Cochimi
cok,Santa Teresa Cora
col,Columbia-Wenatchi
com,Comanche
con,Cofán
coo,Comox
cop,Coptic
coq,Coquille
cor,Cornish
cos,Corsican
cot,Caquinte
cou,Wamey
cov,Cao Miao
cow,Cowlitz
cox,Nanti
coz,Chochotec
cpa,Palantla Chinantec
cpb,Ucayali-Yurúa Ashéninka
cpc,Ajyíninka Apurucayali
cpg,Cappadocian Greek
cpi,Chinese Pidgin English
cpn,Cherepon
cpo,Kpeego
cps,Capiznon
cpu,Pichis Ashéninka
cpx,Pu-Xian Chinese
cpy,South Ucayali Ashéninka
cqd,Chuanqiandian Cluster Miao
cra,Chara
crb,Island Carib
crc,Lonwolwol
crd,Coeur d'Alene
cre,Cree
crf,Caramanta
crg,Michif
crh,Crimean Tatar
crh,Crimean Turkish
cri,Sãotomense
crj,Southern East Cree
crk,Plains Cree
crl,Northern East Cree
crm,Moose Cree
crn,El Nayar Cora
cro,Crow
crq,Iyo'wujwa Chorote
crr,Carolina Algonquian
crs,Seselwa Creole French
crt,Iyojwa'ja Chorote
crv,Chaura
crw,Chrau
crx,Carrier
cry,Cori
crz,Cruzeño
csa,Chiltepec Chinantec
csb,Kashubian
csc,Catalan Sign Language
csc,Lengua de señas catalana
csc,Llengua de Signes Catalana
csd,Chiangmai Sign Language
cse,Czech Sign Language
csf,Cuba Sign Language
csg,Chilean Sign Language
csh,Asho Chin
csi,Coast Miwok
csj,Songlai Chin
csk,Jola-Kasa
csl,Chinese Sign Language
csm,Central Sierra Miwok
csn,Colombian Sign Language
cso,Sochiapam Chinantec
cso,Sochiapan Chinantec
csq,Croatia Sign Language
csr,Costa Rican Sign Language
css,Southern Ohlone
cst,Northern Ohlone
csv,Sumtu Chin
csw,Swampy Cree
csy,Siyin Chin
csz,Coos
cta,Tataltepec Chatino
ctc,Chetco
ctd,Tedim Chin
cte,Tepinapa Chinantec
ctg,Chittagonian
cth,Thaiphum Chin
ctl,Tlacoatzintepec Chinantec
ctm,Chitimacha
ctn,Chhintange
cto,Emberá-Catío
ctp,Western Highland Chatino
cts,Northern Catanduanes Bikol
ctt,Wayanad Chetti
ctu,Chol
ctz,Zacatepec Chatino
cua,Cua
cub,Cubeo
cuc,Usila Chinantec
cug,Chungmboko
cug,Cung
cuh,Chuka
cuh,Gichuka
cui,Cuiba
cuj,Mashco Piro
cuk,San Blas Kuna
cul,Culina
cul,Kulina
cuo,Cumanagoto
cup,Cupeño
cuq,Cun
cur,Chhulung
cut,Teutila Cuicatec
cuu,Tai Ya
cuv,Cuvok
cuw,Chukwa
cux,Tepeuxila Cuicatec
cvg,Chug
cvn,Valle Nacional Chinantec
cwa,Kabwa
cwb,Maindo
cwd,Woods Cree
cwe,Kwere
cwg,Cheq Wong
cwg,Chewong
cwt,Kuwaataay
cya,Nopala Chatino
cyb,Cayubaba
cym,Welsh
cyo,Cuyonon
czh,Huizhou Chinese
czk,Knaanic
czn,Zenzontepec Chatino
czo,Min Zhong Chinese
czt,Zotung Chin
daa,Dangaléat
dac,Dambi
dad,Marik
dae,Duupa
dag,Dagbani
dah,Gwahatike
dai,Day
daj,Dar Fur Daju
dak,Dakota
dal,Dahalo
dam,Damakawa
dan,Danish
dao,Daai Chin
daq,Dandami Maria
dar,Dargwa
das,Daho-Doo
dau,Dar Sila Daju
dav,Dawida
dav,Taita
daw,Davawenyo
dax,Dayi
daz,Dao
dba,Bangime
dbb,Deno
dbd,Dadiya
dbe,Dabe
dbf,Edopi
dbg,Dogul Dom Dogon
dbi,Doka
dbj,Ida'an
dbl,Dyirbal
dbm,Duguri
dbn,Duriankere
dbo,Dulbu
dbp,Duwai
dbq,Daba
dbr,Dabarre
dbt,Ben Tey Dogon
dbu,Bondum Dom Dogon
dbv,Dungu
dbw,Bankan Tey Dogon
dby,Dibiyaso
dcc,Deccan
dcr,Negerhollands
dda,Dadi Dadi
ddd,Dongotono
dde,Doondo
ddg,Fataluku
ddi,West Goodenough
ddj,Jaru
ddn,Dendi (Benin)
ddo,Dido
ddr,Dhudhuroa
dds,Donno So Dogon
ddw,Dawera-Daweloor
dec,Dagik
ded,Dedua
dee,Dewoin
def,Dezfuli
deg,Degema
deh,Dehwari
dei,Demisa
dek,Dek
del,Delaware
dem,Dem
den,Slave (Athapascan)
dep,Pidgin Delaware
deq,Dendi (Central African Republic)
der,Deori
des,Desano
deu,German
dev,Domung
dez,Dengese
dga,Southern Dagaare
dgb,Bunoge Dogon
dgc,Casiguran Dumagat Agta
dgd,Dagaari Dioula
dge,Degenan
dgg,Doga
dgh,Dghwede
dgi,Northern Dagara
dgk,Dagba
dgl,Andaandi
dgl,Dongolawi
dgn,Dagoman
dgo,Dogri (individual language)
dgr,Dogrib
dgs,Dogoso
dgt,Ndra'ngith
dgu,Degaru
dgw,Daungwurrung
dgx,Doghoro
dgz,Daga
dhd,Dhundari
dhg,Dhangu-Djangu
dhg,Dhangu
dhg,Djangu
dhi,Dhimal
dhl,Dhalandji
dhm,Zemba
dhn,Dhanki
dho,Dhodia
dhr,Dhargari
dhs,Dhaiso
dhu,Dhurga
dhv,Dehu
dhv,Drehu
dhw,Dhanwar (Nepal)
dhx,Dhungaloo
dia,Dia
dib,South Central Dinka
dic,Lakota Dida
did,Didinga
dif,Dieri
dig,Chidigo
dig,Digo
dih,Kumiai
dii,Dimbong
dij,Dai
dik,Southwestern Dinka
dil,Dilling
dim,Dime
din,Dinka
dio,Dibo
dip,Northeastern Dinka
diq,Dimli (individual language)
dir,Dirim
dis,Dimasa
dit,Dirari
diu,Diriku
div,Dhivehi
div,Divehi
div,Maldivian
diw,Northwestern Dinka
dix,Dixon Reef
diy,Diuwe
diz,Ding
dja,Djadjawurrung
djb,Djinba
djc,Dar Daju Daju
djd,Djamindjung
dje,Zarma
djf,Djangun
dji,Djinang
djj,Djeebbana
djk,Businenge Tongo
djk,Eastern Maroon Creole
djk,Nenge
djm,Jamsay Dogon
djn,Djauan
djo,Jangkang
djr,Djambarrpuyngu
dju,Kapriman
djw,Djawi
dka,Dakpakha
dkk,Dakka
dkr,Kuijau
dks,Southeastern Dinka
dkx,Mazagway
dlg,Dolgan
dlk,Dahalik
dlm,Dalmatian
dln,Darlong
dma,Duma
dmb,Mombo Dogon
dmc,Gavak
dmd,Madhi Madhi
dme,Dugwor
dmg,Upper Kinabatangan
dmk,Domaaki
dml,Dameli
dmm,Dama
dmo,Kemedzung
dmr,East Damar
dms,Dampelas
dmu,Dubu
dmu,Tebi
dmv,Dumpas
dmw,Mudburra
dmx,Dema
dmy,Demta
dmy,Sowari
dna,Upper Grand Valley Dani
dnd,Daonda
dne,Ndendeule
dng,Dungan
dni,Lower Grand Valley Dani
dnj,Dan
dnk,Dengka
dnn,Dzùùngoo
dnr,Danaru
dnt,Mid Grand Valley Dani
dnu,Danau
dnv,Danu
dnw,Western Dani
dny,Dení
doa,Dom
dob,Dobu
doc,Northern Dong
doe,Doe
dof,Domu
doh,Dong
doi,Dogri (macrolanguage)
dok,Dondo
dol,Doso
don,Toura (Papua New Guinea)
doo,Dongo
dop,Lukpa
doq,Dominican Sign Language
dor,Dori'o
dos,Dogosé
dot,Dass
dov,Dombe
dow,Doyayo
dox,Bussa
doy,Dompo
doz,Dorze
dpp,Papar
drb,Dair
drc,Minderico
drd,Darmiya
dre,Dolpo
drg,Rungus
dri,C'Lela
drl,Paakantyi
drn,West Damar
dro,Daro-Matu Melanau
drq,Dura
drr,Dororo
drs,Gedeo
drt,Drents
dru,Rukai
dry,Darai
dsb,Lower Sorbian
dse,Dutch Sign Language
dsh,Daasanach
dsi,Disa
dsl,Danish Sign Language
dsn,Dusner
dso,Desiya
dsq,Tadaksahak
dta,Daur
dtb,Labuk-Kinabatangan Kadazan
dtd,Ditidaht
dth,Adithinngithigh
dti,Ana Tinga Dogon
dtk,Tene Kan Dogon
dtm,Tomo Kan Dogon
dtn,Daatsʼíin
dto,Tommo So Dogon
dtp,Central Dusun
dtp,Kadazan Dusun
dtr,Lotud
dts,Toro So Dogon
dtt,Toro Tegu Dogon
dtu,Tebul Ure Dogon
dty,Dotyali
dua,Duala
dub,Dubli
duc,Duna
dud,Hun-Saare
due,Umiray Dumaget Agta
duf,Drubea
duf,Dumbea
dug,Chiduruma
dug,Duruma
duh,Dungra Bhil
dui,Dumun
duk,Uyajitaya
dul,Alabat Island Agta
dum,Middle Dutch (ca. 1050-1350)
dun,Dusun Deyah
duo,Dupaninan Agta
dup,Duano
duq,Dusun Malang
dur,Dii
dus,Dumi
duu,Drung
duv,Duvle
duw,Dusun Witu
dux,Duungooma
duy,Dicamay Agta
duz,Duli-Gey
dva,Duau
dwa,Diri
dwr,Dawro
dws,Dutton World Speedwords
dwu,Dhuwal
dww,Dawawa
dwy,Dhuwaya
dya,Dyan
dyb,Dyaberdyaber
dyd,Dyugun
dyg,Villa Viciosa Agta
dyi,Djimini Senoufo
dym,Yanda Dom Dogon
dyn,Dyangadi
dyo,Jola-Fonyi
dyu,Dyula
dyy,Dyaabugay
dza,Tunzu
dze,Djiwarli
dzg,Dazaga
dzl,Dzalakha
dzn,Dzando
dzo,Dzongkha
eaa,Karenggapa
ebg,Ebughu
ebk,Eastern Bontok
ebo,Teke-Ebo
ebr,Ebrié
ebu,Embu
ebu,Kiembu
ecr,Eteocretan
ecs,Ecuadorian Sign Language
ecy,Eteocypriot
eee,E
efa,Efai
efe,Efe
efi,Efik
ega,Ega
egl,Emilian
ego,Eggon
egy,Egyptian (Ancient)
ehu,Ehueun
eip,Eipomek
eit,Eitiep
eiv,Askopan
eja,Ejamat
eka,Ekajuk
ekc,Eastern Karnic
eke,Ekit
ekg,Ekari
eki,Eki
ekk,Standard Estonian
ekl,Kol
ekl,Kol (Bangladesh)
ekm,Elip
eko,Koti
ekp,Ekpeye
ekr,Yace
eky,Eastern Kayah
ele,Elepi
elh,El Hugeirat
eli,Nding
elk,Elkei
ell,Modern Greek (1453-)
elm,Eleme
elo,El Molo
elu,Elu
elx,Elamite
ema,Emai-Iuleha-Ora
emb,Embaloh
eme,Emerillon
emg,Eastern Meohang
emi,Mussau-Emira
emk,Eastern Maninkakan
emm,Mamulique
emn,Eman
emp,Northern Emberá
ems,Pacific Gulf Yupik
emu,Eastern Muria
emw,Emplawas
emx,Erromintxela
emy,Epigraphic Mayan
ena,Apali
enb,Markweeta
enc,En
end,Ende
enf,Forest Enets
eng,English
enh,Tundra Enets
enl,Enlhet
enm,Middle English (1100-1500)
enn,Engenni
eno,Enggano
enq,Enga
enr,Emem
enr,Emumu
enu,Enu
env,Enwan (Edu State)
enw,Enwan (Akwa Ibom State)
enx,Enxet
eot,Beti (Côte d'Ivoire)
epi,Epie
epo,Esperanto
era,Eravallan
erg,Sie
erh,Eruwa
eri,Ogea
erk,South Efate
ero,Horpa
err,Erre
ers,Ersu
ert,Eritai
erw,Erokwanas
ese,Ese Ejja
esg,Aheri Gondi
esh,Eshtehardi
esi,North Alaskan Inupiatun
esk,Northwest Alaska Inupiatun
esl,Egypt Sign Language
esm,Esuma
esn,Salvadoran Sign Language
eso,Estonian Sign Language
esq,Esselen
ess,Central Siberian Yupik
est,Estonian
esu,Central Yupik
esy,Eskayan
etb,Etebi
etc,Etchemin
eth,Ethiopian Sign Language
etn,Eton (Vanuatu)
eto,Eton (Cameroon)
etr,Edolo
ets,Yekhee
ett,Etruscan
etu,Ejagham
etx,Eten
etz,Semimi
eus,Basque
eve,Even
evh,Uvbie
evn,Evenki
ewe,Ewe
ewo,Ewondo
ext,Extremaduran
eya,Eyak
eyo,Keiyo
eza,Ezaa
eze,Uzekwe
faa,Fasu
fab,Fa d'Ambu
fad,Wagi
faf,Fagani
fag,Finongan
fah,Baissa Fali
fai,Faiwol
faj,Faita
fak,Fang (Cameroon)
fal,South Fali
fam,Fam
fan,Fang (Equatorial Guinea)
fao,Faroese
fap,Palor
far,Fataleka
fas,Persian
fat,Fanti
fau,Fayu
fax,Fala
fay,Southwestern Fars
faz,Northwestern Fars
fbl,West Albay Bikol
fcs,Quebec Sign Language
fer,Feroge
ffi,Foia Foia
ffm,Maasina Fulfulde
fgr,Fongoro
fia,Nobiin
fie,Fyer
fij,Fijian
fil,Filipino
fil,Pilipino
fin,Finnish
fip,Fipa
fir,Firan
fit,Tornedalen Finnish
fiw,Fiwaga
fkk,Kirya-Konzəl
fkv,Kven Finnish
fla,Kalispel-Pend d'Oreille
flh,Foau
fli,Fali
fll,North Fali
fln,Flinders Island
flr,Fuliiru
fly,Flaaitaal
fly,Tsotsitaal
fmp,Fe'fe'
fmu,Far Western Muria
fnb,Fanbak
fng,Fanagalo
fni,Fania
fod,Foodo
foi,Foi
fom,Foma
fon,Fon
for,Fore
fos,Siraya
fpe,Fernando Po Creole English
fqs,Fas
fra,French
frc,Cajun French
frd,Fordata
frk,Frankish
frm,Middle French (ca. 1400-1600)
fro,Old French (842-ca. 1400)
frp,Arpitan
frp,Francoprovençal
frq,Forak
frr,Northern Frisian
frs,Eastern Frisian
frt,Fortsenal
fry,Western Frisian
fse,Finnish Sign Language
fsl,French Sign Language
fss,finlandssvenskt teckenspråk
fss,Finland-Swedish Sign Language
fss,suomenruotsalainen viittomakieli
fub,Adamawa Fulfulde
fuc,Pulaar
fud,East Futuna
fue,Borgu Fulfulde
fuf,Pular
fuh,Western Niger Fulfulde
fui,Bagirmi Fulfulde
fuj,Ko
ful,Fulah
fum,Fum
fun,Fulniô
fuq,Central-Eastern Niger Fulfulde
fur,Friulian
fut,Futuna-Aniwa
fuu,Furu
fuv,Nigerian Fulfulde
fuy,Fuyug
fvr,Fur
fwa,Fwâi
fwe,Fwe
gaa,Ga
gab,Gabri
gac,Mixed Great Andamanese
gad,Gaddang
gae,Guarequena
gaf,Gende
gag,Gagauz
gah,Alekano
gai,Borei
gaj,Gadsup
gak,Gamkonora
gal,Galolen
gam,Kandawo
gan,Gan Chinese
gao,Gants
gap,Gal
gaq,Gata'
gar,Galeya
gas,Adiwasi Garasia
gat,Kenati
gau,Mudhili Gadaba
gaw,Nobonob
gax,Borana-Arsi-Guji Oromo
gay,Gayo
gaz,West Central Oromo
gba,Gbaya (Central African Republic)
gbb,Kaytetye
gbd,Karadjeri
gbe,Niksek
gbf,Gaikundi
gbg,Gbanziri
gbh,Defi Gbe
gbi,Galela
gbj,Bodo Gadaba
gbk,Gaddi
gbl,Gamit
gbm,Garhwali
gbn,Mo'da
gbo,Northern Grebo
gbp,Gbaya-Bossangoa
gbq,Gbaya-Bozoum
gbr,Gbagyi
gbs,Gbesi Gbe
gbu,Gagadu
gbv,Gbanu
gbw,Gabi-Gabi
gbx,Eastern Xwla Gbe
gby,Gbari
gbz,Zoroastrian Dari
gcc,Mali
gcd,Ganggalida
gce,Galice
gcf,Guadeloupean Creole French
gcl,Grenadian Creole English
gcn,Gaina
gcr,Guianese Creole French
gct,Colonia Tovar German
gda,Gade Lohar
gdb,Pottangi Ollar Gadaba
gdc,Gugu Badhun
gdd,Gedaged
gde,Gude
gdf,Guduf-Gava
gdg,Ga'dang
gdh,Gadjerawang
gdi,Gundi
gdj,Gurdjar
gdk,Gadang
gdl,Dirasha
gdm,Laal
gdn,Umanakaina
gdo,Ghodoberi
gdq,Mehri
gdr,Wipi
gds,Ghandruk Sign Language
gdt,Kungardutyi
gdu,Gudu
gdx,Godwari
gea,Geruma
geb,Kire
gec,Gboloo Grebo
ged,Gade
geg,Gengle
geh,Hutterisch
geh,Hutterite German
gei,Gebe
gej,Gen
gek,Ywom
gel,ut-Ma'in
geq,Geme
ges,Geser-Gorom
gev,Eviya
gew,Gera
gex,Garre
gey,Enya
gez,Geez
gfk,Patpatar
gft,Gafat
gga,Gao
ggb,Gbii
ggd,Gugadj
gge,Guragone
ggg,Gurgula
ggk,Kungarakany
ggl,Ganglau
ggt,Gitua
ggu,Gagu
ggu,Gban
ggw,Gogodala
gha,Ghadamès
ghc,Hiberno-Scottish Gaelic
ghe,Southern Ghale
ghh,Northern Ghale
ghk,Geko Karen
ghl,Ghulfan
ghn,Ghanongga
gho,Ghomara
ghr,Ghera
ghs,Guhu-Samane
ght,Kuke
ght,Kutang Ghale
gia,Kitja
gib,Gibanawa
gic,Gail
gid,Gidar
gie,Gaɓogbo
gie,Guébie
gig,Goaria
gih,Githabul
gil,Gilbertese
gim,Gimi (Eastern Highlands)
gin,Hinukh
gip,Gimi (West New Britain)
giq,Green Gelao
gir,Red Gelao
gis,North Giziga
git,Gitxsan
giu,Mulao
giw,White Gelao
gix,Gilima
giy,Giyug
giz,South Giziga
gji,Geji
gjk,Kachi Koli
gjm,Gunditjmara
gjn,Gonja
gjr,Gurindji Kriol
gju,Gujari
gka,Guya
gke,Ndai
gkn,Gokana
gko,Kok-Nar
gkp,Guinea Kpelle
gku,ǂUngkue
gla,Gaelic
gla,Scottish Gaelic
glc,Bon Gula
gld,Nanai
gle,Irish
glg,Galician
glh,Northwest Pashai
glh,Northwest Pashayi
gli,Guliguli
glj,Gula Iro
glk,Gilaki
gll,Garlali
glo,Galambu
glr,Glaro-Twabo
glu,Gula (Chad)
glv,Manx
glw,Glavda
gly,Gule
gma,Gambera
gmb,Gula'alaa
gmd,Mághdì
gmg,Magɨyi
gmh,Middle High German (ca. 1050-1500)
gml,Middle Low German
gmm,Gbaya-Mbodomo
gmn,Gimnime
gmu,Gumalu
gmv,Gamo
gmx,Magoma
gmy,Mycenaean Greek
gmz,Mgbolizhia
gna,Kaansa
gnb,Gangte
gnc,Guanche
gnd,Zulgo-Gemzek
gne,Ganang
gng,Ngangam
gnh,Lere
gni,Gooniyandi
gnk,//Gana
gnl,Gangulu
gnm,Ginuman
gnn,Gumatj
gno,Northern Gondi
gnq,Gana
gnr,Gureng Gureng
gnt,Guntai
gnu,Gnau
gnw,Western Bolivian Guaraní
gnz,Ganzi
goa,Guro
gob,Playero
goc,Gorakor
god,Godié
goe,Gongduk
gof,Gofa
gog,Gogo
goh,Old High German (ca. 750-1050)
goi,Gobasi
goj,Gowlan
gok,Gowli
gol,Gola
gom,Goan Konkani
gon,Gondi
goo,Gone Dau
gop,Yeretuar
goq,Gorap
gor,Gorontalo
gos,Gronings
got,Gothic
gou,Gavar
gow,Gorowa
gox,Gobu
goy,Goundo
goz,Gozarkhani
gpa,Gupa-Abawa
gpe,Ghanaian Pidgin English
gpn,Taiap
gqa,Ga'anda
gqi,Guiqiong
gqn,Guana (Brazil)
gqr,Gor
gqu,Qau
gra,Rajput Garasia
grb,Grebo
grc,Ancient Greek (to 1453)
grd,Guruntum-Mbaaru
grg,Madi
grh,Gbiri-Niragu
gri,Ghari
grj,Southern Grebo
grm,Kota Marudu Talantang
grn,Guarani
gro,Groma
grq,Gorovu
grr,Taznatit
grs,Gresi
grt,Garo
gru,Kistane
grv,Central Grebo
grw,Gweda
grx,Guriaso
gry,Barclayville Grebo
grz,Guramalum
gse,Ghanaian Sign Language
gsg,German Sign Language
gsl,Gusilay
gsm,Guatemalan Sign Language
gsn,Gusan
gsn,Nema
gso,Southwest Gbaya
gsp,Wasembo
gss,Greek Sign Language
gsw,Alemannic
gsw,Alsatian
